,ts_code,name
72,300117.SZ,嘉寓股份
73,300150.SZ,世纪瑞尔
74,300153.SZ,科泰电源
75,300163.SZ,先锋新材
76,300175.SZ,朗源股份
77,300176.SZ,派生科技
78,300194.SZ,福安药业
79,300196.SZ,长海股份
80,300213.SZ,佳讯飞鸿
81,300261.SZ,雅本化学
82,300272.SZ,开能健康
83,300275.SZ,梅安森
84,300315.SZ,掌趣科技
85,300323.SZ,华灿光电
86,300356.SZ,光一科技
87,300384.SZ,三联虹普
88,300395.SZ,菲利华
89,300398.SZ,飞凯材料
90,300406.SZ,九强生物
91,300426.SZ,唐德影视
92,300455.SZ,康拓红外
93,300491.SZ,通合科技
94,300554.SZ,三超新材
95,300603.SZ,立昂技术
96,300622.SZ,博士眼镜
97,300633.SZ,开立医疗
98,300659.SZ,中孚信息
99,300682.SZ,朗新科技
100,300684.SZ,中石科技
101,300705.SZ,九典制药
102,300748.SZ,金力永磁
103,600099.SH,林海股份
104,600241.SH,时代万恒
105,600247.SH,ST成城
106,600262.SH,北方股份
107,600285.SH,羚锐制药
108,600321.SH,ST正源
109,600330.SH,天通股份
110,600338.SH,西藏珠峰
111,600399.SH,ST抚钢
112,600506.SH,香梨股份
113,600601.SH,方正科技
114,600666.SH,*ST瑞德
115,600723.SH,首商股份
116,600730.SH,中国高科
117,600732.SH,ST新梅
118,600773.SH,西藏城投
119,600865.SH,百大集团
120,600989.SH,宝丰能源
121,600996.SH,贵广网络
122,600998.SH,九州通
123,601066.SH,中信建投
124,601077.SH,渝农商行
125,601086.SH,国芳集团
126,601138.SH,工业富联
127,601162.SH,天风证券
128,601168.SH,西部矿业
129,601179.SH,中国西电
130,601236.SH,红塔证券
131,601519.SH,大智慧
132,601555.SH,东吴证券
133,601636.SH,旗滨集团
134,601869.SH,长飞光纤
135,601878.SH,浙商证券
136,603050.SH,科林电气
137,603067.SH,振华股份
138,603079.SH,圣达生物
139,603118.SH,共进股份
140,603198.SH,迎驾贡酒
141,603309.SH,维力医疗
142,603327.SH,福蓉科技
143,603637.SH,镇海股份
144,603663.SH,三祥新材
145,603676.SH,卫信康
146,603718.SH,海利生物
147,603776.SH,永安行
148,603787.SH,新日股份
149,603816.SH,顾家家居
150,603819.SH,神力股份
151,603858.SH,步长制药
152,603885.SH,吉祥航空
153,603888.SH,新华网
154,603917.SH,合力科技
155,603936.SH,博敏电子
156,603977.SH,国泰集团
157,688099.SH,晶晨股份
,ts_code,name
0,000058.SZ,深赛格
1,000507.SZ,珠海港
2,000532.SZ,华金资本
3,000595.SZ,宝塔实业
4,000967.SZ,盈峰环境
5,000990.SZ,诚志股份
6,002181.SZ,粤传媒
7,002207.SZ,ST准油
8,002254.SZ,泰和新材
9,002408.SZ,齐翔腾达
10,002435.SZ,长江健康
11,002559.SZ,亚威股份
12,002619.SZ,艾格拉斯
13,002879.SZ,长缆科技
14,300030.SZ,阳普医疗
15,300052.SZ,中青宝
16,300070.SZ,碧水源
17,300142.SZ,沃森生物
18,300198.SZ,纳川股份
19,300288.SZ,朗玛信息
20,300527.SZ,中国应急
21,300585.SZ,奥联电子
22,600052.SH,浙江广厦
23,600104.SH,上汽集团
24,600150.SH,中国船舶
25,600223.SH,鲁商发展
26,600226.SH,瀚叶股份
27,600350.SH,山东高速
28,600358.SH,国旅联合
29,600377.SH,宁沪高速
30,600398.SH,海澜之家
31,600416.SH,湘电股份
32,600426.SH,华鲁恒升
33,600518.SH,ST康美
34,600593.SH,大连圣亚
35,600764.SH,中国海防
36,600810.SH,神马股份
37,600885.SH,宏发股份
38,600892.SH,大晟文化
39,601058.SH,赛轮轮胎
40,601968.SH,宝钢包装
41,601996.SH,丰林集团
42,603398.SH,邦宝益智
43,603429.SH,集友股份
44,603661.SH,恒林股份
45,603868.SH,飞科电器
46,603956.SH,威派格
47,688363.SH,华熙生物
